gene_name|species_name|transcript_id|protein_id|isoform_status
AACS|pan_troglodytes|ENSPTRT00000010337|ENSPTRP00000009564|canonical
AACS|pan_troglodytes|ENSPTRT00000097884|ENSPTRP00000082166|alternative
AACS|pan_troglodytes|ENSPTRT00000103065|ENSPTRP00000084718|alternative
AACS|papio_anubis|ENSPANT00000022538|ENSPANP00000007151|canonical
AACS|pongo_abelii|ENSPPYT00000006044|ENSPPYP00000005821|canonical
AACS|pongo_abelii|ENSPPYT00000039906|ENSPPYP00000043546|alternative
AACS|prolemur_simus|ENSPSMT00000039069|ENSPSMP00000033922|canonical
AACS|prolemur_simus|ENSPSMT00000039081|ENSPSMP00000033932|alternative
AACS|prolemur_simus|ENSPSMT00000039088|ENSPSMP00000033936|alternative
AACS|propithecus_coquereli|ENSPCOT00000033590|ENSPCOP00000022915|canonical
AACS|saimiri_boliviensis_boliviensis|ENSSBOT00000021079|ENSSBOP00000004624|canonical
AACS|theropithecus_gelada|ENSTGET00000041329|ENSTGEP00000034826|canonical
ABAT|aotus_nancymaae|ENSANAT00000030010|ENSANAP00000012191|canonical
ABAT|aotus_nancymaae|ENSANAT00000030015|ENSANAP00000012195|alternative
ABAT|callithrix_jacchus|ENSCJAT00000009563|ENSCJAP00000009051|alternative
ABAT|callithrix_jacchus|ENSCJAT00000033709|ENSCJAP00000031892|alternative
ABAT|callithrix_jacchus|ENSCJAT00000103288|ENSCJAP00000078135|canonical
ABAT|callithrix_jacchus|ENSCJAT00000125663|ENSCJAP00000089379|alternative
ABAT|callithrix_jacchus|ENSCJAT00000132207|ENSCJAP00000083568|alternative
ABAT|carlito_syrichta|ENSTSYT00000030851|ENSTSYP00000031220|alternative
ABAT|carlito_syrichta|ENSTSYT00000040953|ENSTSYP00000026512|canonical
ABAT|carlito_syrichta|ENSTSYT00000048912|ENSTSYP00000025272|alternative
ABAT|cercocebus_atys|ENSCATT00000042647|ENSCATP00000018470|alternative
ABAT|cercocebus_atys|ENSCATT00000042657|ENSCATP00000018480|alternative
ABAT|cercocebus_atys|ENSCATT00000042680|ENSCATP00000018503|alternative
ABAT|cercocebus_atys|ENSCATT00000042697|ENSCATP00000018520|canonical
ABAT|chlorocebus_sabaeus|ENSCSAT00000006775|ENSCSAP00000004970|canonical
ABAT|colobus_angolensis_palliatus|ENSCANT00000003985|ENSCANP00000000972|canonical
ABAT|gorilla_gorilla|ENSGGOT00000010151|ENSGGOP00000009867|alternative
ABAT|gorilla_gorilla|ENSGGOT00000049141|ENSGGOP00000042297|alternative
ABAT|gorilla_gorilla|ENSGGOT00000054506|ENSGGOP00000036538|canonical
ABAT|homo_sapiens|ENST00000268251|ENSP00000268251|canonical
ABAT|homo_sapiens|ENST00000396600|ENSP00000379845|alternative
ABAT|homo_sapiens|ENST00000425191|ENSP00000411916|alternative
ABAT|homo_sapiens|ENST00000561870|ENSP00000456267|alternative
ABAT|homo_sapiens|ENST00000564714|ENSP00000456392|alternative
ABAT|homo_sapiens|ENST00000565016|ENSP00000454415|alternative
ABAT|homo_sapiens|ENST00000567812|ENSP00000456330|alternative
ABAT|homo_sapiens|ENST00000568847|ENSP00000455184|alternative
ABAT|homo_sapiens|ENST00000569156|ENSP00000454963|alternative
ABAT|homo_sapiens|ENST00000909342|ENSP00000579401|alternative
ABAT|homo_sapiens|ENST00000909343|ENSP00000579402|alternative
ABAT|homo_sapiens|ENST00000909344|ENSP00000579403|alternative
ABAT|homo_sapiens|ENST00000909345|ENSP00000579404|alternative
ABAT|homo_sapiens|ENST00000909346|ENSP00000579405|alternative
ABAT|macaca_fascicularis|ENSMFAT00000068552|ENSMFAP00000018009|canonical
ABAT|macaca_fascicularis|ENSMFAT00000068571|ENSMFAP00000018028|alternative
ABAT|macaca_fascicularis|ENSMFAT00000083969|ENSMFAP00000059347|alternative
ABAT|macaca_mulatta|ENSMMUT00000065596|ENSMMUP00000047032|alternative
ABAT|macaca_mulatta|ENSMMUT00000065644|ENSMMUP00000050939|alternative
ABAT|macaca_mulatta|ENSMMUT00000088644|ENSMMUP00000071644|canonical
ABAT|macaca_mulatta|ENSMMUT00000096934|ENSMMUP00000075298|alternative
ABAT|macaca_nemestrina|ENSMNET00000057838|ENSMNEP00000033392|alternative
ABAT|macaca_nemestrina|ENSMNET00000057854|ENSMNEP00000033407|alternative
ABAT|macaca_nemestrina|ENSMNET00000057860|ENSMNEP00000033413|canonical
ABAT|microcebus_murinus|ENSMICT00000010637|ENSMICP00000009690|alternative
ABAT|microcebus_murinus|ENSMICT00000029203|ENSMICP00000026231|alternative
ABAT|microcebus_murinus|ENSMICT00000038657|ENSMICP00000030880|canonical
ABAT|nomascus_leucogenys|ENSNLET00000012862|ENSNLEP00000012264|canonical
ABAT|nomascus_leucogenys|ENSNLET00000032595|ENSNLEP00000024227|alternative
ABAT|nomascus_leucogenys|ENSNLET00000057034|ENSNLEP00000044207|alternative
ABAT|pan_paniscus|ENSPPAT00000000845|ENSPPAP00000000234|alternative
ABAT|pan_paniscus|ENSPPAT00000000865|ENSPPAP00000000238|canonical
ABAT|pan_paniscus|ENSPPAT00000000866|ENSPPAP00000000239|alternative
ABAT|pan_troglodytes|ENSPTRT00000060400|ENSPTRP00000053776|canonical
ABAT|pan_troglodytes|ENSPTRT00000077959|ENSPTRP00000080981|alternative
ABAT|pan_troglodytes|ENSPTRT00000082961|ENSPTRP00000072470|alternative
ABAT|papio_anubis|ENSPANT00000032032|ENSPANP00000042090|canonical
ABAT|pongo_abelii|ENSPPYT00000008340|ENSPPYP00000008008|alternative
ABAT|pongo_abelii|ENSPPYT00000035062|ENSPPYP00000043358|alternative
ABAT|pongo_abelii|ENSPPYT00000059088|ENSPPYP00000041707|canonical
ABAT|prolemur_simus|ENSPSMT00000034825|ENSPSMP00000030189|alternative
ABAT|prolemur_simus|ENSPSMT00000034833|ENSPSMP00000030195|canonical
ABAT|propithecus_coquereli|ENSPCOT00000022823|ENSPCOP00000012228|canonical
ABAT|saimiri_boliviensis_boliviensis|ENSSBOT00000057014|ENSSBOP00000040048|alternative
ABAT|saimiri_boliviensis_boliviensis|ENSSBOT00000057015|ENSSBOP00000040049|alternative
ABAT|saimiri_boliviensis_boliviensis|ENSSBOT00000057017|ENSSBOP00000040051|canonical
ABAT|saimiri_boliviensis_boliviensis|ENSSBOT00000057018|ENSSBOP00000040052|alternative
ABAT|theropithecus_gelada|ENSTGET00000039545|ENSTGEP00000033300|canonical
ABCA1|aotus_nancymaae|ENSANAT00000049683|ENSANAP00000031638|canonical
ABCA1|aotus_nancymaae|ENSANAT00000049688|ENSANAP00000031644|alternative
ABCA1|aotus_nancymaae|ENSANAT00000049696|ENSANAP00000031651|alternative
ABCA1|callithrix_jacchus|ENSCJAT00000032583|ENSCJAP00000030832|alternative
ABCA1|callithrix_jacchus|ENSCJAT00000108470|ENSCJAP00000071949|alternative
ABCA1|callithrix_jacchus|ENSCJAT00000115036|ENSCJAP00000077923|canonical
ABCA1|callithrix_jacchus|ENSCJAT00000120680|ENSCJAP00000086471|alternative
ABCA1|carlito_syrichta|ENSTSYT00000002637|ENSTSYP00000002426|canonical
ABCA1|carlito_syrichta|ENSTSYT00000031652|ENSTSYP00000029380|alternative
ABCA1|carlito_syrichta|ENSTSYT00000033454|ENSTSYP00000033459|alternative
ABCA1|cercocebus_atys|ENSCATT00000046077|ENSCATP00000021872|canonical
ABCA1|cercocebus_atys|ENSCATT00000046102|ENSCATP00000021897|alternative
ABCA1|cercocebus_atys|ENSCATT00000046121|ENSCATP00000021916|alternative
ABCA1|cercocebus_atys|ENSCATT00000046131|ENSCATP00000021926|alternative
ABCA1|cercocebus_atys|ENSCATT00000046141|ENSCATP00000021936|alternative
ABCA1|chlorocebus_sabaeus|ENSCSAT00000009382|ENSCSAP00000007500|canonical
ABCA1|colobus_angolensis_palliatus|ENSCANT00000035942|ENSCANP00000013030|alternative
ABCA1|colobus_angolensis_palliatus|ENSCANT00000035963|ENSCANP00000013051|canonical
ABCA1|colobus_angolensis_palliatus|ENSCANT00000035976|ENSCANP00000013064|alternative
ABCA1|gorilla_gorilla|ENSGGOT00000009477|ENSGGOP00000009219|alternative
ABCA1|gorilla_gorilla|ENSGGOT00000048990|ENSGGOP00000048491|alternative
ABCA1|gorilla_gorilla|ENSGGOT00000064257|ENSGGOP00000031163|canonical
ABCA1|homo_sapiens|ENST00000374733|ENSP00000363865|alternative
ABCA1|homo_sapiens|ENST00000374736|ENSP00000363868|canonical
ABCA1|homo_sapiens|ENST00000423487|ENSP00000416623|alternative
ABCA1|homo_sapiens|ENST00000678995|ENSP00000504612|alternative
ABCA1|macaca_fascicularis|ENSMFAT00000023951|ENSMFAP00000005278|canonical
ABCA1|macaca_fascicularis|ENSMFAT00000023990|ENSMFAP00000005316|alternative
ABCA1|macaca_mulatta|ENSMMUT00000028999|ENSMMUP00000027135|alternative
ABCA1|macaca_mulatta|ENSMMUT00000099695|ENSMMUP00000061741|canonical
ABCA1|macaca_nemestrina|ENSMNET00000039779|ENSMNEP00000015570|alternative
ABCA1|macaca_nemestrina|ENSMNET00000039844|ENSMNEP00000015634|canonical
ABCA1|macaca_nemestrina|ENSMNET00000039860|ENSMNEP00000015650|alternative
ABCA1|microcebus_murinus|ENSMICT00000006188|ENSMICP00000005641|alternative
ABCA1|microcebus_murinus|ENSMICT00000063500|ENSMICP00000050312|canonical
ABCA1|nomascus_leucogenys|ENSNLET00000022012|ENSNLEP00000020959|canonical
ABCA1|nomascus_leucogenys|ENSNLET00000050356|ENSNLEP00000028829|alternative
ABCA1|pan_paniscus|ENSPPAT00000058048|ENSPPAP00000035160|alternative
ABCA1|pan_paniscus|ENSPPAT00000058061|ENSPPAP00000035173|canonical
ABCA1|pan_paniscus|ENSPPAT00000058066|ENSPPAP00000035178|alternative
ABCA1|pan_troglodytes|ENSPTRT00000039236|ENSPTRP00000049117|alternative
ABCA1|pan_troglodytes|ENSPTRT00000094944|ENSPTRP00000062700|canonical
ABCA1|pan_troglodytes|ENSPTRT00000107746|ENSPTRP00000091903|alternative
ABCA1|papio_anubis|ENSPANT00000027273|ENSPANP00000019018|canonical
ABCA1|papio_anubis|ENSPANT00000040155|ENSPANP00000036308|alternative
ABCA1|papio_anubis|ENSPANT00000069516|ENSPANP00000051766|alternative
ABCA1|papio_anubis|ENSPANT00000070918|ENSPANP00000050555|alternative
ABCA1|pongo_abelii|ENSPPYT00000022705|ENSPPYP00000021810|canonical
ABCA1|pongo_abelii|ENSPPYT00000060605|ENSPPYP00000042327|alternative
ABCA1|prolemur_simus|ENSPSMT00000003375|ENSPSMP00000002806|canonical
ABCA1|prolemur_simus|ENSPSMT00000003387|ENSPSMP00000002817|alternative
ABCA1|propithecus_coquereli|ENSPCOT00000018024|ENSPCOP00000007481|canonical
ABCA1|propithecus_coquereli|ENSPCOT00000018026|ENSPCOP00000007483|alternative
ABCA1|saimiri_boliviensis_boliviensis|ENSSBOT00000055395|ENSSBOP00000038444|alternative
ABCA1|saimiri_boliviensis_boliviensis|ENSSBOT00000055403|ENSSBOP00000038452|canonical
ABCA1|theropithecus_gelada|ENSTGET00000001502|ENSTGEP00000001170|canonical
ABCB1|aotus_nancymaae|ENSANAT00000025964|ENSANAP00000008183|alternative
ABCB1|aotus_nancymaae|ENSANAT00000025980|ENSANAP00000008199|alternative
ABCB1|aotus_nancymaae|ENSANAT00000026040|ENSANAP00000008259|alternative
ABCB1|aotus_nancymaae|ENSANAT00000026043|ENSANAP00000008262|alternative
ABCB1|aotus_nancymaae|ENSANAT00000026154|ENSANAP00000008374|canonical
ABCB1|aotus_nancymaae|ENSANAT00000026169|ENSANAP00000008388|alternative
ABCB1|callithrix_jacchus|ENSCJAT00000028441|ENSCJAP00000026904|alternative
ABCB1|callithrix_jacchus|ENSCJAT00000028562|ENSCJAP00000027017|canonical
ABCB1|callithrix_jacchus|ENSCJAT00000062214|ENSCJAP00000046149|alternative
ABCB1|callithrix_jacchus|ENSCJAT00000072255|ENSCJAP00000055629|alternative
ABCB1|callithrix_jacchus|ENSCJAT00000081509|ENSCJAP00000056442|alternative
ABCB1|callithrix_jacchus|ENSCJAT00000128180|ENSCJAP00000080163|alternative
ABCB1|callithrix_jacchus|ENSCJAT00000140953|ENSCJAP00000087478|alternative
ABCB1|callithrix_jacchus|ENSCJAT00000142236|ENSCJAP00000090689|alternative
ABCB1|carlito_syrichta|ENSTSYT00000002270|ENSTSYP00000002097|canonical
ABCB1|carlito_syrichta|ENSTSYT00000048526|ENSTSYP00000028476|alternative
ABCB1|cercocebus_atys|ENSCATT00000061366|ENSCATP00000037070|alternative
ABCB1|cercocebus_atys|ENSCATT00000061431|ENSCATP00000037134|canonical
ABCB1|cercocebus_atys|ENSCATT00000061444|ENSCATP00000037147|alternative
ABCB1|cercocebus_atys|ENSCATT00000061457|ENSCATP00000037160|alternative
ABCB1|cercocebus_atys|ENSCATT00000061518|ENSCATP00000037221|alternative
ABCB1|cercocebus_atys|ENSCATT00000061522|ENSCATP00000037225|alternative
ABCB1|cercocebus_atys|ENSCATT00000061526|ENSCATP00000037229|alternative
ABCB1|cercocebus_atys|ENSCATT00000061528|ENSCATP00000037231|alternative
ABCB1|chlorocebus_sabaeus|ENSCSAT00000010481|ENSCSAP00000008574|canonical
ABCB1|colobus_angolensis_palliatus|ENSCANT00000056052|ENSCANP00000032828|canonical
ABCB1|colobus_angolensis_palliatus|ENSCANT00000056059|ENSCANP00000032835|alternative
ABCB1|gorilla_gorilla|ENSGGOT00000001155|ENSGGOP00000001131|alternative
ABCB1|gorilla_gorilla|ENSGGOT00000026490|ENSGGOP00000024624|canonical
ABCB1|homo_sapiens|ENST00000265724|ENSP00000265724|alternative
ABCB1|homo_sapiens|ENST00000416177|ENSP00000399419|alternative
ABCB1|homo_sapiens|ENST00000543898|ENSP00000444095|alternative
ABCB1|homo_sapiens|ENST00000622132|ENSP00000478255|canonical
ABCB1|homo_sapiens|ENST00000890297|ENSP00000560356|alternative
ABCB1|homo_sapiens|ENST00000890298|ENSP00000560357|alternative
ABCB1|homo_sapiens|ENST00000890299|ENSP00000560358|alternative
ABCB1|homo_sapiens|ENST00000890300|ENSP00000560359|alternative
ABCB1|homo_sapiens|ENST00000890301|ENSP00000560360|alternative
ABCB1|homo_sapiens|ENST00000890302|ENSP00000560361|alternative
ABCB1|homo_sapiens|ENST00000890303|ENSP00000560362|alternative
ABCB1|homo_sapiens|ENST00000890304|ENSP00000560363|alternative
ABCB1|homo_sapiens|ENST00000890305|ENSP00000560364|alternative
ABCB1|homo_sapiens|ENST00000961093|ENSP00000631152|alternative
ABCB1|homo_sapiens|ENST00000961094|ENSP00000631153|alternative
ABCB1|macaca_fascicularis|ENSMFAT00000013565|ENSMFAP00000039303|alternative
ABCB1|macaca_fascicularis|ENSMFAT00000013747|ENSMFAP00000039484|alternative
ABCB1|macaca_fascicularis|ENSMFAT00000013751|ENSMFAP00000039488|alternative
ABCB1|macaca_fascicularis|ENSMFAT00000013771|ENSMFAP00000039508|alternative
ABCB1|macaca_fascicularis|ENSMFAT00000013773|ENSMFAP00000039510|alternative
ABCB1|macaca_fascicularis|ENSMFAT00000013862|ENSMFAP00000039599|canonical
ABCB1|macaca_fascicularis|ENSMFAT00000013866|ENSMFAP00000039603|alternative
ABCB1|macaca_fascicularis|ENSMFAT00000073254|ENSMFAP00000053295|alternative
ABCB1|macaca_fascicularis|ENSMFAT00000092704|ENSMFAP00000051914|alternative
ABCB1|macaca_mulatta|ENSMMUT00000009467|ENSMMUP00000008900|alternative
ABCB1|macaca_mulatta|ENSMMUT00000015083|ENSMMUP00000014135|canonical
ABCB1|macaca_mulatta|ENSMMUT00000015085|ENSMMUP00000014137|alternative
ABCB1|macaca_mulatta|ENSMMUT00000015086|ENSMMUP00000014138|alternative
ABCB1|macaca_mulatta|ENSMMUT00000059821|ENSMMUP00000059120|alternative
ABCB1|macaca_mulatta|ENSMMUT00000098100|ENSMMUP00000076696|alternative
ABCB1|microcebus_murinus|ENSMICT00000001294|ENSMICP00000001182|canonical
ABCB1|microcebus_murinus|ENSMICT00000033076|ENSMICP00000034023|alternative
ABCB1|nomascus_leucogenys|ENSNLET00000019136|ENSNLEP00000018228|canonical
ABCB1|nomascus_leucogenys|ENSNLET00000035384|ENSNLEP00000027172|alternative
ABCB1|nomascus_leucogenys|ENSNLET00000057872|ENSNLEP00000032812|alternative
ABCB1|pan_paniscus|ENSPPAT00000049011|ENSPPAP00000026178|canonical
ABCB1|pan_troglodytes|ENSPTRT00000035843|ENSPTRP00000033133|canonical
ABCB1|pan_troglodytes|ENSPTRT00000102959|ENSPTRP00000068017|alternative
ABCB1|pan_troglodytes|ENSPTRT00000108427|ENSPTRP00000073630|alternative
ABCB1|pongo_abelii|ENSPPYT00000020786|ENSPPYP00000019998|canonical
ABCB1|pongo_abelii|ENSPPYT00000047134|ENSPPYP00000034274|alternative
ABCB1|prolemur_simus|ENSPSMT00000026233|ENSPSMP00000022594|alternative
ABCB1|prolemur_simus|ENSPSMT00000026244|ENSPSMP00000022604|alternative
ABCB1|prolemur_simus|ENSPSMT00000026257|ENSPSMP00000022614|canonical
ABCB1|prolemur_simus|ENSPSMT00000026262|ENSPSMP00000022618|alternative
ABCB1|propithecus_coquereli|ENSPCOT00000020820|ENSPCOP00000010243|canonical
ABCB1|propithecus_coquereli|ENSPCOT00000020821|ENSPCOP00000010244|alternative
ABCB1|theropithecus_gelada|ENSTGET00000007836|ENSTGEP00000006501|alternative
ABCB1|theropithecus_gelada|ENSTGET00000007837|ENSTGEP00000006502|alternative
ABCB1|theropithecus_gelada|ENSTGET00000007839|ENSTGEP00000006504|alternative
ABCB1|theropithecus_gelada|ENSTGET00000007846|ENSTGEP00000006511|alternative
ABCB1|theropithecus_gelada|ENSTGET00000007910|ENSTGEP00000006562|canonical
ABCB1|theropithecus_gelada|ENSTGET00000007914|ENSTGEP00000006566|alternative
ABCB11|aotus_nancymaae|ENSANAT00000029041|ENSANAP00000011232|canonical
ABCB11|aotus_nancymaae|ENSANAT00000029044|ENSANAP00000011235|alternative
ABCB11|aotus_nancymaae|ENSANAT00000029046|ENSANAP00000011237|alternative
ABCB11|callithrix_jacchus|ENSCJAT00000012271|ENSCJAP00000011631|alternative
ABCB11|callithrix_jacchus|ENSCJAT00000136394|ENSCJAP00000089325|canonical
ABCB11|carlito_syrichta|ENSTSYT00000009000|ENSTSYP00000008255|canonical
ABCB11|cercocebus_atys|ENSCATT00000036087|ENSCATP00000011961|alternative
ABCB11|cercocebus_atys|ENSCATT00000036105|ENSCATP00000011979|alternative
ABCB11|cercocebus_atys|ENSCATT00000036126|ENSCATP00000012000|alternative
ABCB11|cercocebus_atys|ENSCATT00000036139|ENSCATP00000012013|canonical
ABCB11|chlorocebus_sabaeus|ENSCSAT00000013345|ENSCSAP00000011347|canonical
ABCB11|colobus_angolensis_palliatus|ENSCANT00000013337|ENSCANP00000003339|alternative
ABCB11|colobus_angolensis_palliatus|ENSCANT00000013508|ENSCANP00000003396|canonical
ABCB11|colobus_angolensis_palliatus|ENSCANT00000013700|ENSCANP00000003427|alternative
ABCB11|gorilla_gorilla|ENSGGOT00000003313|ENSGGOP00000003239|alternative
ABCB11|gorilla_gorilla|ENSGGOT00000055987|ENSGGOP00000050529|alternative
ABCB11|gorilla_gorilla|ENSGGOT00000061133|ENSGGOP00000043567|canonical
ABCB11|homo_sapiens|ENST00000648875|ENSP00000497252|alternative
ABCB11|homo_sapiens|ENST00000649448|ENSP00000497165|alternative
ABCB11|homo_sapiens|ENST00000650372|ENSP00000497931|canonical
ABCB11|homo_sapiens|ENST00000858971|ENSP00000529030|alternative
ABCB11|homo_sapiens|ENST00000858972|ENSP00000529031|alternative
ABCB11|homo_sapiens|ENST00000858973|ENSP00000529032|alternative
ABCB11|macaca_fascicularis|ENSMFAT00000025242|ENSMFAP00000006556|canonical
ABCB11|macaca_fascicularis|ENSMFAT00000025258|ENSMFAP00000006572|alternative
ABCB11|macaca_fascicularis|ENSMFAT00000025265|ENSMFAP00000006579|alternative
ABCB11|macaca_fascicularis|ENSMFAT00000090989|ENSMFAP00000057677|alternative
ABCB11|macaca_mulatta|ENSMMUT00000019418|ENSMMUP00000018185|canonical
ABCB11|macaca_nemestrina|ENSMNET00000045026|ENSMNEP00000020777|canonical
ABCB11|macaca_nemestrina|ENSMNET00000045043|ENSMNEP00000020794|alternative
ABCB11|macaca_nemestrina|ENSMNET00000045045|ENSMNEP00000020796|alternative
ABCB11|microcebus_murinus|ENSMICT00000017334|ENSMICP00000015790|canonical
ABCB11|microcebus_murinus|ENSMICT00000064426|ENSMICP00000043089|alternative
ABCB11|nomascus_leucogenys|ENSNLET00000005879|ENSNLEP00000005591|canonical
ABCB11|pan_paniscus|ENSPPAT00000042001|ENSPPAP00000019245|canonical
ABCB11|pan_paniscus|ENSPPAT00000042008|ENSPPAP00000019252|alternative
ABCB11|pan_paniscus|ENSPPAT00000042010|ENSPPAP00000019254|alternative
ABCB11|pan_troglodytes|ENSPTRT00000023357|ENSPTRP00000021540|alternative
ABCB11|pan_troglodytes|ENSPTRT00000101194|ENSPTRP00000088624|canonical
ABCB11|pan_troglodytes|ENSPTRT00000102408|ENSPTRP00000090759|alternative
ABCB11|papio_anubis|ENSPANT00000014478|ENSPANP00000018422|canonical
ABCB11|pongo_abelii|ENSPPYT00000014993|ENSPPYP00000014407|canonical
ABCB11|pongo_abelii|ENSPPYT00000047587|ENSPPYP00000029886|alternative
ABCB11|prolemur_simus|ENSPSMT00000037819|ENSPSMP00000032799|alternative
ABCB11|prolemur_simus|ENSPSMT00000037822|ENSPSMP00000032802|canonical
ABCB11|prolemur_simus|ENSPSMT00000037823|ENSPSMP00000032803|alternative
ABCB11|propithecus_coquereli|ENSPCOT00000031361|ENSPCOP00000020704|canonical
ABCB11|saimiri_boliviensis_boliviensis|ENSSBOT00000026231|ENSSBOP00000009465|canonical
ABCB11|saimiri_boliviensis_boliviensis|ENSSBOT00000026237|ENSSBOP00000009471|alternative
ABCB11|theropithecus_gelada|ENSTGET00000023257|ENSTGEP00000019535|canonical
ABCB4|aotus_nancymaae|ENSANAT00000025964|ENSANAP00000008183|alternative
ABCB4|aotus_nancymaae|ENSANAT00000025980|ENSANAP00000008199|alternative
ABCB4|aotus_nancymaae|ENSANAT00000026040|ENSANAP00000008259|alternative
ABCB4|aotus_nancymaae|ENSANAT00000026043|ENSANAP00000008262|alternative
ABCB4|aotus_nancymaae|ENSANAT00000026154|ENSANAP00000008374|canonical
ABCB4|aotus_nancymaae|ENSANAT00000026169|ENSANAP00000008388|alternative
ABCB4|callithrix_jacchus|ENSCJAT00000028441|ENSCJAP00000026904|alternative
ABCB4|callithrix_jacchus|ENSCJAT00000028562|ENSCJAP00000027017|canonical
ABCB4|callithrix_jacchus|ENSCJAT00000062214|ENSCJAP00000046149|alternative
ABCB4|callithrix_jacchus|ENSCJAT00000072255|ENSCJAP00000055629|alternative
ABCB4|callithrix_jacchus|ENSCJAT00000081509|ENSCJAP00000056442|alternative
ABCB4|callithrix_jacchus|ENSCJAT00000128180|ENSCJAP00000080163|alternative
ABCB4|callithrix_jacchus|ENSCJAT00000140953|ENSCJAP00000087478|alternative
ABCB4|callithrix_jacchus|ENSCJAT00000142236|ENSCJAP00000090689|alternative
ABCB4|carlito_syrichta|ENSTSYT00000000987|ENSTSYP00000000912|canonical
ABCB4|carlito_syrichta|ENSTSYT00000041881|ENSTSYP00000027386|alternative
ABCB4|cercocebus_atys|ENSCATT00000061366|ENSCATP00000037070|alternative
ABCB4|cercocebus_atys|ENSCATT00000061431|ENSCATP00000037134|canonical
ABCB4|cercocebus_atys|ENSCATT00000061444|ENSCATP00000037147|alternative
ABCB4|cercocebus_atys|ENSCATT00000061457|ENSCATP00000037160|alternative
ABCB4|cercocebus_atys|ENSCATT00000061518|ENSCATP00000037221|alternative
ABCB4|cercocebus_atys|ENSCATT00000061522|ENSCATP00000037225|alternative
ABCB4|cercocebus_atys|ENSCATT00000061526|ENSCATP00000037229|alternative
ABCB4|cercocebus_atys|ENSCATT00000061528|ENSCATP00000037231|alternative
ABCB4|colobus_angolensis_palliatus|ENSCANT00000046258|ENSCANP00000023271|alternative
ABCB4|colobus_angolensis_palliatus|ENSCANT00000046264|ENSCANP00000023277|canonical
